34.900	3.273	2.918	2.03	24
58.948	5.011	7.655	2.01	25
28.018	4.204	9.842	1.89	27
15.755	7.946	4.245	1.89	27
26.543	4.735	3.879	1.89	27
23.904	5.640	3.685	1.85	28
64.958	3.796	3.484	1.84	28
26.536	11.756	6.005	1.84	28
58.571	3.633	3.582	1.80	29
61.098	20.798	14.684	1.80	29
17.396	52.334	6.584	1.79	29
27.842	5.237	3.838	1.79	29
34.652	5.125	3.424	1.79	29
47.401	3.125	2.967	1.77	30
12.061	17.707	4.751	1.77	30
55.808	9.272	7.093	1.77	30
18.702	35.159	8.964	1.77	30
37.240	5.758	4.510	1.77	30
17.102	23.986	5.877	1.77	30
